ID;Depth from;Depth to;Recovery;Test Type;Sampling Description;SPT-N;PP;TV;VST, Peak;VST, Residual
BHS02;1.2;;;SPT;1.20m: (13, 25, 25/107) N>50;>50;;;;
BHS02;2.2;;;SPT;2.20m: (13, 26, 24/115) N>50;>50;;;;
BHS02;3.2;;;SPT;3.20m: (14, 21, 28) N=49;49;;;;
BHS02;4.2;;;SPT;4.20m: (18, 31, 19/45) N>50;>50;;;;
BHS02;5.2;;;SPT;5.20m: (12, 19, 22) N=41;41;;;;
BHS02;6.2;;;SPT;6.20m: (12, 21, 23) N=44;44;;;;
BHS02;7.2;;;SPT;7.20m: (14, 21, 28) N=49;49;;;;
BHS03;2.2;;;SPT;2.20m: (9, 15, 23) N=38;38;;;;
BHS03;3.2;;;SPT;3.20m: (13, 26, 24/75) N>50;>50;;;;
BHS03;4.2;;;SPT;4.20m: (25, 50/75) N>50;>50;;;;
BHS03;5.2;;;SPT;5.20m: (25, 50/75) N>50;>50;;;;
BHS03;6.2;;;SPT;6.20m: (25, 50/60) N>50;>50;;;;
BHS03;7.2;;;SPT;7.20m: (25, 50/55) N>50;>50;;;;
BHS03;8.2;;;SPT;8.20m: (25, 50/60) N>50;>50;;;;
BHS03;9.2;;;SPT;9.20m: (25, 50/75) N>50;>50;;;;
BHS04;2.2;;;SPT;2.20m: (1, 2, 3) N=5;5;;;;
BHS04;5.2;;;SPT;5.20m: (5, 7, 6) N=13;13;;;;
BHS04;7.2;;;SPT;7.20m: (7, 10, 14) N=24;24;;;;
BHS04;8.2;;;SPT;8.20m: (23, 50/100) N>50;>50;;;;
BHS04;9.2;;;SPT;9.20m: (25, 50/30) N>50;>50;;;;
BHS05;1.2;;;SPT;1.20m: (7, 10, 18) N=28;28;;;;
BHS05;2.2;;;SPT;2.20m: (7, 13, 20) N=33;33;;;;
BHS05;3.2;;;SPT;3.20m: (25, 50/30) N>50;>50;;;;
BHS05;5.2;;;SPT;5.20m: (25/75) N>50;>50;;;;
BHS05;6.2;;;SPT;6.20m: (25, 50/50) N>50;>50;;;;
BHS05;7.2;;;SPT;7.20m: (25, 50/45) N>50;>50;;;;
