ID;X;Y;Z
BHD1450;281186.5;852995.1;29.83
BHD1451;281282.16;852957.57;30.86
BHD1452;281287.52;852983.94;29.58
BHD1453;281301.35;852890.07;32.43
BHD1454;281178.25;853175.4;25.96
BHD1455;281336.31;853008.27;29.64
BHD1456;281360.59;852976.23;31.72
BHD1457;281470.63;853258.81;21.18
BHD1458;281674.64;853287.48;24.23
BHD1459;281660.32;853165.95;26.67
BHD1460;281927.95;853350.56;25.65
BHD1461;281965.49;853398.63;23.19
BHD1462;282014.19;853418.89;23.7
BHD1462A;282012.7;853418.36;23.77
BHD1463;282055.29;853394.11;26.62
BHD1464;282079.23;853446.57;23.97
BHD1465;282124.12;853459.69;24
BHD1466;282175.57;853475.82;23.21
BHD1467;282032.71;853481.82;28.26
BHD1468;282052.25;853466.86;22.71
BHD1469;282079.33;853479.17;22.38
BHD1470;282184.27;853509.36;23.06
BHD1471;281978.6;853433.69;23.34
BHD1472;282040.85;853451.97;23.45
BHD1473;282104.27;853470.48;23.53
BHD1474;282179.86;853492.46;23.72
BHD1475;282228.51;853506.57;23.93
BHD1476;282269.29;853584.21;22.41
BHD1477;282445.4;853658.46;22.97
BHD1478;282414.51;853705.86;21.17
BHD1479;281304.14;852948.34;31.52
BHD1480;281259.3;853014.58;29.04
BHD1550;282643;853842.01;22.03
BHD1551;282781.38;853985.77;26.15
BHD1552;282843.86;853910.36;29.79
BHD1553;282987.4;853969.65;33.67
BHD1554;282981.44;853977.48;33.66
BHD1555;282977.42;853981.95;33.37
BHD1556;282950.49;854048.14;32.33
BHD1557;282925.22;854074.89;30.92
BHD1558;283054.67;853910.91;34.34
BHD1559;283107.99;854138.01;30.04
BHD1560;283121.63;854104.8;34.24
BHD1561;283140.19;854032.09;33.23
BHD1562;283166.4;854140.15;32.72
BHD1563;283206.51;854074.12;27.75
BHD1564;283400.75;854142.63;27.76
BHD1565;283565.95;854121.79;27.68
BHD1566;283649.35;854097.36;27.38
BHD1567;283697.44;854125.72;26.6
BHD1568;283654.57;854227.96;28.5
BHD1569;283574.49;854288.93;28.32
BHD1570;283588.85;854275.59;28.21
BHD1570A;283590.45;854275.36;28.21
BHD1571;283459.87;854542.7;23.24
BHD1572;283396.44;854439.38;25
BHD1573;283754.52;854285.7;28.97
BHD1574;283939.76;854331.22;33.25
BHD1575;284033.31;854392.56;28.11
BHD1575A;284033.23;854392.62;28.01
BHD1576;282939.03;853730.93;24.31
BHD1577;283943.99;854371.59;33.06
BHD1578;282645.93;854065.31;18.33
BHD1579;283607.11;854227.07;28.27
BHD1650;284087.36;854380.48;26.54
BHD1651;284128.97;854407.87;26.57
BHD1652;284213.59;854412.4;26.21
BHD1653;284335.1;854417.41;26.57
BHD1654;284420.25;854453.16;25.85
BHD1655;284416.63;854385.19;25.72
BHD1656;284575.6;854446.83;26.48
BHD1657;284566.53;854384.58;26.67
BHD1658;284705.95;854434.7;25.87
BHD1659;284703.86;854369.25;26.15
BHD1660;284803.35;854398.05;25.99
BHD1661;284898.52;854369.86;26.92
BHD1662;285020.76;854332.73;26.08
BHD1663;285040.56;854310.64;25.29
BHD1664;285096.3;854360.67;24.96
BHD1665;285111.53;854413.31;24.53
BHD1666;285182.68;854391.28;24.6
BHD1667;285204.74;854363.85;24.33
BHD1668;285335.62;854269.23;24.34
BHD1669;285356.73;854375.86;22.74
BHD1670;285413.87;854347.94;23.29
BHD1671;285408.71;854256.15;25.89
BHD1672;285238.06;854304.7;24.54
BHD1673;284583.85;855111.59;24.92
BHD1674;285164.56;854383.6;24.72
BHD1750;285555.97;854313.17;26.85
BHD1751;285764.46;854261.78;27.06
BHD1752;285955.52;854226.3;25.71
BHD1753;286277.95;854278.55;22.44
BHD1754;286447.12;854304.14;21.83
BHD1755;286574.27;854270.46;21.96
BHD1756;286731.8;854365.9;21.04
BHD1757;286796.87;854391.81;21.28
BHD1758;286957.94;854401.69;23.38
BHD1850;287035.94;854420.44;24.24
BHD1851;287180.33;854463.4;25.77
BHD1852;287251.01;854426.31;25.18
BHD1853;287339.22;854482.59;23.79
BHD1854;287342.08;854443.04;24.7
BHD1855;287531.07;854470.52;23.88
BHD1856;287657.39;854444.33;25.02
BHD1857;287684.87;854508.06;25.01
BHD1858;287719.57;854450.74;22.83
BHD1859;287748.81;854591.56;23.77
BHD1860;287832.65;854583.8;20.98
BHD1861;287886.94;854469.24;17.26
BHD1862;287907.38;854523.3;17.69
BHD1863;287943.95;854501.5;12.87
BHD1864;287921.45;854478.6;13.68
BHD1865;287984.06;854475.4;11.82
BHD1866;287994.87;854504.08;11.61
BHD1867;288070.09;854534.23;18.88
BHD1868;288046.25;854476.29;19.18
BHD1869;288367.79;854539.24;18.86
BHD1870;288405.54;854444.94;18.81
BHD1871;288454.87;854492.71;17.77
BHD1872;288416.26;854660.95;17.8
BHD1873;288462.57;854710.77;10.01
BHD1874;287044.48;854573.62;20.62
BHD1875;287391.62;854873.07;21.89
BHD1876;287438.3;854876.84;21.99
BHD1877;287847.11;854795.67;21.59
BHD1878;287602.61;854265.3;24.34
BHD1879;287679.23;854490.1;25
BHD1880;288441.27;854512.27;18.04
BHD1950;288677.6;854486.78;18.25
BHD1951;288815.72;854550.97;18.72
BHD1952;288932.27;854599.47;17.02
BHD1953;288997.7;854574.71;16.31
BHD1954;289081.05;854665.69;18.8
BHD1955;289165.32;854585.05;19.62
BHD1956;289232.97;854539.05;19.38
BHD1957;289427.33;854635.89;22.32
BHD1958;289452.58;854377.69;28.29
BHD1959;289420.75;854556.98;23.55
BHD1960;289363;854669.02;21.07
BHD1961;289246.88;855095.83;14.21
BHD1962;289512.16;854564.99;24.46
BHD1963;289567.11;854651.95;24.82
BHD1964;289589.69;854577.58;26.29
BHD1965;289701.8;854609.02;27.75
BHD1966;289757.32;854726.47;25.5
BHD1966A;289756.63;854727.02;25.49
BHD1966B;289757.34;854726.5;25.49
BHD1967;289795.11;854637.74;31.92
BHD1968;289893.68;854686.76;33.53
BHD1969;289887.97;854693.37;33.35
BHD1970;289885.15;854697.22;33.07
BHD1971;289945.98;854724.47;32.42
BHD1972;289949.13;854855.05;29.27
BHD1973;289993.74;854803.31;32.57
BHD1974;290048.3;854810.3;32.73
BHD1974A;290047.3;854811;32.73
BHD1974B;290047.32;854811.37;32.82
BHD1975;289404.85;854601.49;23.12
BHD1976;289438.06;854554.43;24.15
BHD1977;288978.33;854656.39;13.71
BHD1978;288851.66;854494.18;19.38
BHD2050;290068.84;854964.08;30.72
BHD2051;290142.14;854897.03;32.37
BHD2052;290172.44;855003.52;29.08
BHD2053;290288.97;855132.28;27.49
BHD2054;290321.63;855243.34;33.32
BHD2055;290376.02;855308.65;30.28
BHD2056;290316.44;855342.5;31.65
BHD2057;290465.33;855613.12;24.86
BHD2058;290594.82;855626.45;27.45
BHD2059;290722.35;855721.99;25.47
BHD2060;290719.78;855792.36;24.07
BHD2061;290754;855815.88;24.17
BHD2062;290783.78;855781.01;25.3
BHD2063;290718.12;855838.58;23.48
BHD2064;290604.09;855976.08;20.75
BHD2065;290688.11;855995.97;22.81
BHD2066;290904.78;855927.13;23.25
BHD2067;290932.49;855948.23;23.04
BHD2068;290975.25;855936.29;23.32
BHD2069;291055.05;855967.03;23.58
BHD2070;290996.01;856052.39;20.65
BHD2071;290922.8;855678.53;18.35
BHD2072;290748.31;855761.77;25.52
BHD2150;291138.89;856110.56;22.48
BHD2151;291184.63;856043.27;23.27
BHD2152;291287.05;856176.77;20.29
BHD2153;291481.8;856155.4;21.05
BHD2154;291553.11;856118.05;19.95
BHD2155;291523.12;856236.38;12.97
BHD2156;291580.16;856201.63;12.73
BHD2157;291618.39;856212.78;13.4
BHD2158;291687.99;856196.61;17.61
BHD2159;291762.97;856201.59;20.55
BHD2160;292198.93;856084.67;24.97
BHD2161;292231.07;856067.08;26.02
BHD2162;292253.41;856146.55;26.89
BHD2163;292278.88;856142.5;27.7
BHD2163A;292277.85;856140.82;27.73
BHD2164;292269.17;856176.97;26.07
BHD2165;292249.55;856188.85;24.65
BHD2166;292324.28;856188.04;26.86
BHD2167;292274.39;856342.55;17.76
BHD2168;291584.99;856226.78;13.12
BHD2250;292627.91;855956.82;45.17
BHD2251;292677.92;856023.43;45.48
BHD2252;292667.87;856029.66;29.08
BHD2253;292808.18;855944.68;48.58
BHD2254;292775.75;855930.56;48.07
BHD2255;292772.73;855907.93;47.91
BHD2256;292809.06;855868.99;48.05
BHD2257;292817.47;855865.24;48.09
BHD2258;292964.46;855836.73;46.94
BHD2259;293279.83;855707.46;38.11
BHD2260;293508.73;855623.37;32.53
BHD2261;293691.45;855623.26;31.72
BHD2262;293778.08;855672.18;31.63
BHD2263;293803.06;855633.76;32.18
BHD2264;293851.17;855710.16;31.94
BHD2265;293832.83;855758.13;31.85
BHD2266;293908.71;855806.8;31.78
BHD2267;293946.88;855752.66;33.57
BHD2267A;293946.43;855757.24;33.17
BHD2268;294026.72;855681.17;38.98
BHD2269;293103.32;855802.04;43.37
BHD2270;293803.91;855673.39;32.01
BHD2271;293821.35;855710.09;31.74
BHD2350;294024.32;855840.67;31.47
BHD2350A;294024.38;855838.83;31.47
