ID;Depth from;Depth to;Soil Type;Soil Description;USCS
BHD1450;0;0.4;TOPSOIL;TOPSOIL (brown slightly gravelly fine to coarse sand with occasional rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including granite, gneiss and psammite);
BHD1450;0.4;1.65;SAND SILTY GRAVELLY;Greyish brown very gravelly very silty fine to coarse SAND. Gravel is fine to coarse of mixed lithologies including psammite, quartzite and schist;
BHD1450;1.65;3.3;GRAVEL SILTY SANDY;Dense greyish brown silty fine to coarse SAND and fine to coarse subrounded to rounded GRAVEL of mixed lithologies including granite, gneiss and psammite;
BHD1450;3.3;6;SAND SILTY GRAVELLY COBBLY;Medium dense greyish brown very gravelly silty fine to coarse SAND with cobbles. Gravel is of mixed lithologies including granite, gneiss and psammite. Cobbles are subangular to subrounded of mixed lithologies including granite, gneiss and psammite;
BHD1451;0;0.6;TOPSOIL;TOPSOIL (dark brown gravelly silty fine to coarse sand with rootlets. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, psammite and basalt);
BHD1451;0.6;1.5;SAND GRAVELLY;Brown gravelly fine SAND. Gravel is fine to coarse subangular to subrounded of mixed lithologies including psammite, quartzite and schist;
BHD1451;1.5;2.4;SAND SILTY GRAVELLY;Light greyish brown very gravelly silty fine to coarse SAND. Gravel is fine to coarse subrounded to rounded of mixed lithologies including sandstone, psammite and quartzite;
BHD1451;2.4;4.4;GRAVEL SILTY SANDY COBBLY;Brown sandy slightly silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, quartz and granite with cobbles. Cobbles are subangular to subrounded of mixed lithologies including schist, hornfels and sandstone;
BHD1451;4.4;7.35;CLAY SANDY GRAVELLY;Stiff brown sandy slightly gravelly CLAY of low plasticity. Sand is fine to coarse. Gravel is fine to coarse subangular to subrounded of mixed lithologies including quartzite, schist and sandstone;
BHD1451;7.35;11.7;SILT SANDY GRAVELLY;Very stiff grey slightly gravelly slightly sandy SILT of low plasticity. Sand is fine to coarse. Gravel is fine subangular to subrounded of mixed lithologies including sandstone, psammite and quartzite;
BHD1451;11.7;12.3;SANDSTONE;# Red SANDSTONE;
BHD1451;12.3;12.5;MUDSTONE;# Red MUDSTONE;
BHD1451;12.5;18.45;SANDSTONE;Medium stong locally weak reddish brown locally brownish grey thinly bedded fine grained locally medium grained SANDSTONE. Partially weathered, evident as a local reduction to silt at fracture surfaces. Single discernable fracture set, very closely and closely spaced, subhorizontal, stepped and rough. Locally recovered non-intact;
BHD1451;18.45;19.95;SANDSTONE;Medium strong reddish brown and light grey thinly bedded medium grained SANDSTONE. Distinctly weathered evident as a local reduction in strength at fracture surfaces. Single fracture set: Closely spaced, subhorizontal, undulating and rough;
BHD1452;0;0.45;TOPSOIL;TOPSOIL (brown silty fine to coarse sand with frequent rootlets);
BHD1452;0.45;4.2;GRAVEL SILTY SANDY;Brown very sandy silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, schist and psammite. Sand is fine to coarse;
BHD1452;4.2;4.6;SILT SANDY GRAVELLY;Very dense grey slightly gravelly slightly sandy SILT. Sand is fine to coarse. Gravel is fine to medium subangular to subrounded of mixed lithologies including sandstone schist and granite;
BHD1452;4.6;6.1;GRAVEL SILTY SANDY COBBLY;Grey very silty fine to coarse SAND and fine to coarse subrounded to rounded GRAVEL of mixed lithologies including schist, granite and sandstone with cobbles. Cobbles are subrounded to rounded of mixed lithologies including schist, granite and sandstone;
BHD1452;6.1;7.2;GRAVEL SILTY SANDY;Brown sandy silty fine to medium subrounded to rounded GRAVEL of sandstone and granite. Sand is fine to coarse;
BHD1452;7.2;10.2;GRAVEL SILTY SANDY COBBLY;Brown very sandy slightly silty fine to coarse subrounded to rounded GRAVEL with cobbles of mixed lithologies including schist, granite and sandstone. Cobbles are subrounded to rounded of mixed lithologies including schist, granite and sandstone;
BHD1452;10.2;10.9;GRAVEL SILTY SANDY;Reddish brown sandy silty fine to coarse angular to subangular GRAVEL of sandstone. (WEATHERED SANDSTONE);
BHD1452;10.9;11.7;GRAVEL SILTY SANDY;White sandy silty fine to coarse angular to subangular GRAVEL of sandstone. (WEATHERED SANDSTONE);
BHD1452;11.7;16.75;SANDSTONE;Medium strong locally weak thinly bedded brown locally pale greenish grey fine grained SANDSTONE. Partially weathered, evident as a reduction in strength at fracture surfaces. Two fracture sets: No.1 Closely spaced and medium spaced, subhorizontal, undulating and rough. No.2 single, discontinuous, subvertical, undulating and rough;
BHD1453;0;1.2;TOPSOIL;TOPSOIL (brown slightly gravelly silty fine to coarse sand with rootlets. Gravel is fine to coarse subangular to subrounded gravel of mixed lithologies including sandstone, psammite and quartzite;
BHD1453;1.2;2.1;SAND SILTY GRAVELLY COBBLY;Dense light brown gravelly very silty fine to coarse SAND with cobbles. Gravel is fine to medium subangular to subrounded of mixed lithologies including granite, quartzite and semi pelite. Cobbles are subangular to subrounded of quartzite;
BHD1453;2.1;6.2;GRAVEL SILTY SANDY COBBLY;Medium dense brown slightly silty very sandy fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, quartzite and psammite with cobbles. Sand is fine to coarse. Cobbles are subangular and subrounded of sandstone and psammite;
BHD1453;6.2;7.8;SAND SILTY GRAVELLY;Brown very gravelly silty fine to coarse SAND with pockets of clay. Gravel is fine to coarse subangular to subrounded of mixed lithologies including sandstone, psammite and quartzite;
BHD1453;7.8;8.5;SAND SILTY GRAVELLY;Dense brown very sandy very silty fine to coarse subangular to subrounded GRAVEL of mixed lithologies including sandstone, psammite and quartzite;
BHD1454;0;0.5;TOPSOIL;TOPSOIL (dark brown gravelly sandy clay with rootlets. Sand is fine to coarse. Gravel is fine to medium subrounded to rounded of mixed lithologies including granite, psammite and schist);
