ID;Depth (m);qc (MPa);fs (kPa);u2 (kPa)
185;0.01;0.56;0;0.1
185;0.02;0.49;0;0.1
185;0.03;0.65;0;0.1
185;0.04;0.65;0.2;0.1
185;0.05;0.68;0.3;0.1
185;0.06;0.73;0.7;0.1
185;0.07;0.78;1.3;0.5
185;0.08;0.74;3.4;1
185;0.09;0.73;4.7;2
185;0.1;0.76;8.1;3.4
185;0.11;0.78;9.7;3.5
185;0.12;0.96;9.5;3.6
185;0.13;1.02;10.3;3.7
185;0.14;0.97;12.6;3.7
185;0.15;0.94;13;3.8
185;0.16;0.9;13.8;3.8
185;0.17;0.83;14.6;4.7
185;0.18;0.81;15.4;5.5
185;0.19;0.79;16.7;5.5
185;0.2;0.78;16.3;5.5
185;0.21;0.74;16.8;5.5
185;0.22;0.72;17.8;5.5
185;0.23;0.69;18.7;5.5
185;0.24;0.67;19.1;5.4
185;0.25;0.65;19.9;5.4
185;0.26;0.62;19.9;5.4
185;0.27;0.62;20.9;5.4
185;0.28;0.62;21.3;5.3
185;0.29;0.62;21.7;5.3
185;0.3;0.63;22.5;5.1
185;0.31;0.65;22.5;5
185;0.32;0.65;22.6;4.9
185;0.33;0.66;22.7;4.9
185;0.34;0.66;26.5;4.9
185;0.35;0.67;26.4;4.9
185;0.36;0.68;27.1;4.8
185;0.37;0.68;27.9;4.8
185;0.38;0.66;27.8;4.7
185;0.39;0.66;28;4.7
185;0.4;0.6;27.9;4.7
185;0.41;0.58;28;4.5
185;0.42;0.46;28.1;4.4
185;0.43;0.46;28.1;4.4
185;0.44;0.44;28.2;4.4
185;0.45;0.43;28.3;4.4
185;0.46;0.43;29;4.4
185;0.47;0.43;29.3;4.4
185;0.48;0.44;29.5;4.4
185;0.49;0.44;29.5;4.4
185;0.5;0.46;29.6;4.4
185;0.51;0.48;29.9;4.3
185;0.52;0.48;30.1;4.3
185;0.53;0.49;30.6;4.3
185;0.54;0.48;31.1;4.2
185;0.55;0.48;31.4;4.2
185;0.56;0.47;31.3;4.1
185;0.57;0.47;31.8;4.1
185;0.58;0.46;32.5;4.1
185;0.59;0.46;32.7;4.1
185;0.6;0.46;32.9;4.1
185;0.61;0.46;33.2;4.1
185;0.62;0.46;33.4;4.1
185;0.63;0.46;34;4.1
185;0.64;0.47;33.9;4
185;0.65;0.48;33.9;4
185;0.66;0.49;33.7;3.9
185;0.67;0.52;33.5;3.9
185;0.68;0.52;33.3;3.9
185;0.69;0.53;33;3.9
185;0.7;0.56;33;3.9
185;0.71;0.59;31.9;3.9
185;0.72;0.64;30.3;3.9
185;0.73;0.69;29.3;3.8
185;0.74;0.78;28.1;3.8
185;0.75;0.94;26.9;3.7
185;0.76;0.99;26.1;3.8
185;0.77;1.06;25.7;3.8
185;0.78;1.11;23.1;3.8
185;0.79;1.14;20.5;3.8
185;0.8;1.13;19.8;3.8
185;0.81;1.13;19.9;3.8
185;0.82;1.12;19.7;3.8
185;0.83;1.12;19.5;3.9
185;0.84;1.12;19.3;3.9
185;0.85;1.12;19.2;6.1
185;0.86;1.13;19.2;6.2
185;0.87;1.16;19.2;6.2
185;0.88;1.2;19.2;6.3
185;0.89;1.31;19;6.3
185;0.9;1.35;18.7;6.3
185;0.91;1.43;18.9;6.3
185;0.92;1.51;19;6.3
185;0.93;1.6;19.3;6.3
185;0.94;1.76;19.5;6.3
185;0.95;1.82;19.5;6.3
185;0.96;1.87;19.5;6.3
185;0.97;1.92;19.5;6.3
185;0.98;1.99;19.1;6.2
185;0.99;2.09;19.1;6.2
