ID;X;Y;Z
44;200315;9132012;49.2
45;200993;9132480;40.6
67;200864;9132651;42.6
68;200888;9132933;41.6
122;200844;9132463;47.1
123;200400;9132261;43.2
124;201628;9132511;40.9
185;200116;9132336;48.8
186;201041;9132834;47.8
187;201295;9132453;45.8
188;200332;9132463;49.4
189;200966;9132085;42.1
190;200613;9132055;47.1
265;200537;9132851;48.2
266;201205;9132208;43.3
267;200743;9132454;44.3
527;200146;9132174;48.2
528;200923;9132492;45.9
529;200973;9132787;42.6
533;200512;9132223;47.7
638;200625;9132688;47.8
639;201947;9132284;42.3
640;201437;9132722;47.1
641;201751;9132400;47.3
676;201710;9132400;42.5
677;200336;9132632;46.2
678;201045;9132589;47.8
679;201264;9132689;41.3
680;200545;9132282;49.5
731;201073;9132654;40.8
732;201226;9132514;45
805;200354;9132740;44.5
806;201992;9132989;40.7
839;200004;9132265;43.5
840;200636;9132605;45.8
841;200266;9132374;44
1044;201356;9132004;41.3
1045;201628;9132077;44.9
1206;201838;9132775;44.4
1207;200061;9132114;43.2
1208;200309;9132652;41.2
1338;201379;9132762;43.3
